128,128,800,800,6.0,6.091,2.186,6.523,-0.6411,-9.0217
128,256,100,100,2.0,0.375,0.137,0.463,-0.6354,-2.7232
128,256,100,100,4.0,0.419,0.158,0.441,-0.6231,-11.9286
128,256,100,100,6.0,0.643,0.100,0.270,-0.8445,1.4540
128,256,200,200,2.0,0.748,0.178,0.927,-0.7618,-3.1834
128,256,200,200,4.0,0.748,0.288,0.819,-0.6148,-6.5444
128,256,200,200,6.0,1.313,0.266,0.507,-0.7977,1.2994
128,256,400,400,2.0,1.426,0.253,1.772,-0.8225,-3.3883
128,256,400,400,4.0,1.516,0.628,1.562,-0.5856,-18.9333
128,256,400,400,6.0,2.587,0.449,1.123,-0.8263,1.4608
128,256,800,800,2.0,3.041,0.417,3.578,-0.8628,-4.8808
128,256,800,800,4.0,3.062,1.134,3.037,-0.6295,79.5805
128,256,800,800,6.0,5.270,1.008,2.042,-0.8087,1.3205
128,512,100,100,2.0,0.380,0.130,0.439,-0.6571,-4.2953
128,512,100,100,4.0,0.344,0.075,0.276,-0.7821,3.9371
128,512,100,100,6.0,0.673,0.024,0.157,-0.9640,1.2581
128,512,200,200,2.0,0.759,0.176,0.838,-0.7678,-7.3448
128,512,200,200,4.0,0.678,0.148,0.685,-0.7817,-79.8237
128,512,200,200,6.0,1.285,0.054,0.438,-0.9583,1.4532
128,512,400,400,2.0,1.485,0.226,1.696,-0.8480,-5.9593
128,512,400,400,4.0,1.432,0.305,1.368,-0.7870,17.3855
128,512,400,400,6.0,2.524,0.127,0.886,-0.9495,1.4635
128,512,800,800,2.0,2.947,0.413,3.240,-0.8598,-8.6609
128,512,800,800,4.0,2.843,0.569,2.632,-0.7999,10.7796
128,512,800,800,6.0,5.087,0.206,1.659,-0.9595,1.4239
256,64,100,100,2.0,0.097,0.031,1.572,-0.6774,-0.0445
256,64,100,100,4.0,0.216,0.128,1.306,-0.4058,-0.0802
256,64,100,100,6.0,0.344,0.247,1.084,-0.2818,-0.1308
256,64,200,200,2.0,0.241,0.116,3.056,-0.5195,-0.0444
256,64,200,200,4.0,0.387,0.275,2.641,-0.2903,-0.0499
256,64,200,200,6.0,0.678,0.403,2.219,-0.4055,-0.1785
256,64,400,400,2.0,0.569,0.184,6.363,-0.6758,-0.0663
256,64,400,400,4.0,0.962,0.434,5.297,-0.5487,-0.1218
256,64,400,400,6.0,1.278,0.784,4.553,-0.3863,-0.1508
256,64,800,800,2.0,1.462,0.287,13.353,-0.8034,-0.0988
256,64,800,800,4.0,2.119,0.878,10.419,-0.5855,-0.1495
256,64,800,800,6.0,2.828,1.447,8.825,-0.4884,-0.2303
256,128,100,100,2.0,0.333,0.147,0.870,-0.5587,-0.3459
256,128,100,100,4.0,0.398,0.175,0.800,-0.5608,-0.5564
256,128,100,100,6.0,0.541,0.217,0.833,-0.5983,-1.1070
256,128,200,200,2.0,0.570,0.142,1.798,-0.7507,-0.3486
256,128,200,200,4.0,0.827,0.286,1.631,-0.6541,-0.6718
256,128,200,200,6.0,1.058,0.375,1.622,-0.6455,-1.2105
256,128,400,400,2.0,1.692,0.291,3.673,-0.8283,-0.7074
256,128,400,400,4.0,2.094,0.428,3.392,-0.7955,-1.2828
256,128,400,400,6.0,2.127,0.698,3.300,-0.6716,-1.2170
256,128,800,800,2.0,3.516,0.270,7.478,-0.9231,-0.8190
256,128,800,800,4.0,4.191,0.709,6.734,-0.8307,-1.3686
256,128,800,800,6.0,4.572,1.322,6.566,-0.7109,-1.6301
256,256,100,100,2.0,0.334,0.198,0.415,-0.4065,-1.6893
256,256,100,100,4.0,0.363,0.141,0.417,-0.6121,-4.0571
256,256,100,100,6.0,0.327,0.141,0.377,-0.5704,-3.7344
256,256,200,200,2.0,0.618,0.206,0.868,-0.6662,-1.6469
256,256,200,200,4.0,0.623,0.202,0.842,-0.6750,-1.9146
256,256,200,200,6.0,0.725,0.266,0.823,-0.6336,-4.6667
256,256,400,400,2.0,1.248,0.274,1.730,-0.7802,-2.0194
256,256,400,400,4.0,1.450,0.344,1.691,-0.7629,-4.5974
256,256,400,400,6.0,1.491,0.555,1.629,-0.6276,-6.8068
256,256,800,800,2.0,2.213,0.273,3.465,-0.8768,-1.5506
256,256,800,800,4.0,2.291,0.534,3.254,-0.7668,-1.8255
256,256,800,800,6.0,2.873,0.991,3.193,-0.6549,-5.8732
256,512,100,100,2.0,0.310,0.159,0.412,-0.4880,-1.4715
256,512,100,100,4.0,0.341,0.138,0.381,-0.5956,-5.0485
256,512,100,100,6.0,0.322,0.099,0.373,-0.6930,-4.3258
256,512,200,200,2.0,0.634,0.239,0.836,-0.6233,-1.9480
256,512,200,200,4.0,0.705,0.191,0.825,-0.7289,-4.2834
256,512,200,200,6.0,0.643,0.174,0.661,-0.7292,-26.1087
256,512,400,400,2.0,1.286,0.230,1.693,-0.8211,-2.6000
256,512,400,400,4.0,1.380,0.304,1.638,-0.7798,-4.1742
256,512,400,400,6.0,1.437,0.331,1.388,-0.7697,22.8307
256,512,800,800,2.0,2.598,0.253,3.345,-0.9026,-3.1418
256,512,800,800,4.0,2.862,0.500,3.196,-0.8254,-7.0737
256,512,800,800,6.0,2.655,0.653,3.002,-0.7542,-5.7790

=== COMPLETE: 162 configurations tested ===
